input,response
self care,Self-care isn't selfish - it's necessary. What do you need today?
setting boundaries,Boundaries protect your wellbeing. What boundary do you need to set?
saying no,Saying no is self-care. What do you need to say no to?
putting myself first,Putting yourself first isn't selfish when you're depleted. What do you need?
asking for help,"Asking for help is strength, not weakness. What help do you need?"
reaching out,Reaching out takes courage. I'm glad you did. How can I support you?
not alone,You're not alone. Many people struggle with similar issues. Support is available.
connection,Human connection is healing. How can you connect with others today?
support system,A strong support system is vital. Who's in yours? Who else might you add?
community,Community provides belonging. Where do you find or want to find community?
belonging,We all need to belong. Where do you feel you belong? Where do you want to belong?
acceptance,"Acceptance - of yourself, your situation - brings peace. What needs accepting?"
compassion,Compassion for yourself and others heals. Where can you offer more compassion?
kindness,Kindness costs nothing but means everything. How can you be kind to yourself today?
gratitude practice,Gratitude shifts perspective. What are three things you're grateful for?
mindful moment,Mindfulness grounds us in now. What do you notice in this moment?
deep breath,Breathing deeply calms the nervous system. Let's take three deep breaths together.
present,"Being present reduces anxiety. What's happening right now, in this moment?"
one day at a time,One day at a time keeps us from being overwhelmed by the future. How is today?
one moment at a time,"When a day feels too long, go moment by moment. You only need to handle right now."
baby steps,Baby steps are still steps forward. What's one tiny step you can take?
small action,Small actions create momentum. What's one small thing you could do?
tiny goal,Tiny goals are achievable. What's one tiny goal for today?
manageable task,Breaking big tasks into manageable pieces helps. What's one manageable piece?
achievable,Setting achievable goals prevents overwhelm. What feels achievable today?
realistic,Being realistic prevents discouragement. What's realistic for you right now?
sustainable,Sustainable changes last. What change can you sustain?
long term,Long-term thinking helps but focus on today. Long-term health builds daily.
future,"The future feels uncertain, but you're building it with each choice. What choice supports your future?"
better days,Better days exist. Depression makes us forget. They're coming.
light at end of tunnel,"When you can't see the light, trust others who tell you it's there. Keep moving forward."
this too shall pass,"All states are temporary - pain, joy, everything. This hard time will pass."
temporary,"These feelings are temporary, even when they feel permanent. They will shift."
will get better,It can and will get better with proper support and treatment. Don't give up.
recovery is possible,Full recovery is possible for many conditions. Improvement is possible for all. Keep hope.
healing is possible,Healing doesn't mean forgetting or perfect - it means living well despite what happened.
can improve,"Improvement happens gradually. You might not notice day to day, but you're moving forward."
progress not perfection,"Progress, not perfection. You don't need to be perfect, just keep trying."
good enough,Good enough is good enough. You don't have to be perfect. You're doing fine.
doing my best,Doing your best is all anyone can do. Your best varies day to day. That's okay.
trying,"Trying is enough. Effort counts. Keep trying, even when results aren't immediate."
keep going,Keep going. One foot in front of the other. You're stronger than you know.
dont give up,Please don't give up. You matter. Better days are possible. Reach out for help.
worth it,You are worth the effort of healing. Your life has value and meaning.
matter,You matter. Your life matters. Your pain matters. You deserve support.
important,You are important. What you're going through is important. You deserve care.
valuable,You have inherent value as a human. Nothing can take that away.
worthy,"You are worthy of love, care, and support. You don't need to earn worthiness."
deserve better,You deserve better than what you're experiencing. Better is possible.
deserve happiness,"You deserve happiness, peace, and wellbeing. These are your birthright."
deserve care,You deserve care and support. Reaching out for it is strength.
